排名,账号昵称,粉丝区间,阅读区间,成交金额区间
47,香肩小羊（请看置顶）,,5万-7万,5000-1万
48,Better Living编辑部,,1万-3万,5000-1万
49,天之趣旅,,1000-3000,5000-1万
50,美食券屯屯鼠,,3万-5万,5000-1万
51,绵眠,,3万-5万,5000-1万
52,寻物处first,,1万-3万,5000-1万
53,九品小吏,,1万-3万,5000-1万
54,大猫素材基地,,5万-7万,5000-1万
55,券券小仓鼠,,5000-7000,5000-1万
56,小康好卷,,7000-9000,5000-1万
57,圆文山,,1万-3万,5000-1万
58,阳光泡芙,,3万-5万,5000-1万
59,水果软件素材,,5万-7万,5000-1万
60,AI有温度,,1万-3万,5000-1万
61,超绝无敌打印机,,7万-10万,5000-1万
62,临安去哪玩,,1万-3万,5000-1万
63,YY学姐资料库,,10万以上,5000-1万
64,CC学姐的,,3万-5万,5000-1万
65,元宝家的,,10万以上,5000-1万
66,聪明狗蛋,,5万-7万,5000-1万
67,ALu🍎,,1万-3万,5000-1万
68,软件百宝箱pro,,10万以上,5000-1万
69,梦恬恬吖,,7万-10万,5000-1万
70,大众美食券,,9000-1万,5000-1万
71,美美券妹儿,,1万-3万,5000-1万
72,Mila的外刊写作日记,,1万-3万,5000-1万
73,吃饱饱劵,,1万-3万,5000-1万
74,吃喝玩乐补给站,,1万-3万,5000-1万
75,木子李记录生活,,7000-9000,5000-1万
76,碎屏服务保障,,3000-5000,5000-1万
77,阿东的工具库,,1万-3万,5000-1万
78,稿定设计ppt,,5万-7万,5000-1万
79,小凤课件,,1万-3万,5000-1万
80,秦牛牛美食,,1万-3万,5000-1万
81,嘻爸嘻妈,,3万-5万,5000-1万
82,净植看短篇,,5万-7万,5000-1万
83,JACKAL,,1万-3万,5000-1万
84,小檬爱美食,,1万-3万,5000-1万
85,苏苏苏苏苏喂～,,7万-10万,5000-1万
86,木木带你拿offer,,1万-3万,5000-1万
87,公考新情报站,,5万-7万,5000-1万
88,岸口船夫,,10万以上,5000-1万
89,思维氮泵 Brand,,9000-1万,5000-1万
90,干饭小管家,,1万-3万,5000-1万
91,夏知（公考笔试）,,1万-3万,5000-1万
92,蓝色裤头猫的英语干货库（没回复就是在睡觉）,,1万-3万,5000-1万
93,塔塔自习室,,1万-3万,5000-1万
94,璞光少女,,1万-3万,5000-1万
95,好吃的饭饭,,10万以上,5000-1万
96,佳味美食小肆,,1万-3万,5000-1万
97,一二minioixi,,1万-3万,5000-1万
98,砚墨染云笺,,5万-7万,5000-1万
99,心理交流站,,10万以上,5000-1万
100,阿拉阿湾小助理,,1万-3万,5000-1万
101,小可学姐,,3万-5万,5000-1万
102,上岸原风,,1万-3万,5000-1万
103,Fairy爱学习（找我到客服）,,1万-3万,5000-1万
104,素材菌｜简历｜PPT,,7万-10万,5000-1万
105,心理扫码站,,10万以上,5000-1万
106,OC资料局,,10万以上,5000-1万
107,第四曲线艺术阅览室,,5000-7000,5000-1万
108,彩云教务馆,,3万-5万,5000-1万
109,小怡软件库,,3万-5万,5000-1万
110,斐斐的省钱俱乐部,,1万-3万,5000-1万
111,资料一站式,,10万以上,5000-1万
112,泓源数创学习阁,,3万-5万,5000-1万
113,悦纯学姐,,1万-3万,5000-1万
114,双木林sml,,7000-9000,5000-1万
115,api key 官转api,,7万-10万,5000-1万
116,三天不语,,1万-3万,5000-1万
117,xiaoxiao6今天也不想上班,,10万以上,5000-1万
118,大众美食券,,5000-7000,5000-1万
119,怪好吃,,1万-3万,5000-1万
120,小月爱美食,,1万-3万,5000-1万
121,vivo保障服务办理,,7000-9000,5000-1万
122,伊伊宝贝学英语,,1万-3万,5000-1万
123,吃喝玩乐超级补给,,5000-7000,5000-1万
124,美食趣玩俱乐部,,1万-3万,5000-1万
125,十年程序猿,,3万-5万,5000-1万
126,我们教书匠,,1万-3万,5000-1万
127,派大星软件百宝箱,,3万-5万,5000-1万
128,Wendy,,3万-5万,5000-1万
129,何一诺,,5万-7万,5000-1万
130,牛牛在学（考研英语版）,,1万-3万,5000-1万
131,团GO美食家,,1万-3万,5000-1万
132,鲨鲨不想上班,,5万-7万,5000-1万
133,成长论NuYoah.,,7万-10万,5000-1万
134,胖虎软件百宝箱,,3万-5万,5000-1万
135,Andyx,,3万-5万,5000-1万
136,游玩美食gogogo,,5000-7000,5000-1万
137,壮壮妈卡券权益,,3000-5000,5000-1万
138,彤彤美食特惠,,7000-9000,5000-1万
139,彤彤美食雅,,7000-9000,5000-1万
140,干饭快乐卷,,1万-3万,5000-1万
141,拍照的小🐑,,5万-7万,5000-1万
142,琪琪学姐教育培训,,1万-3万,5000-1万
143,小巧匠儿教语文,,5000-7000,￥1000-5000
144,笔试题库,,3万-5万,￥1000-5000
145,安柒wallpaper,,7万-10万,￥1000-5000
146,联考上岸榜,,1万-3万,￥1000-5000
147,助你上岸研究所,,3万-5万,￥1000-5000
148,BBG Talents,,3000-5000,￥1000-5000
149,身心疗愈心理研究院,,10万以上,￥1000-5000
150,阿啾爱学习,,5万-7万,￥1000-5000
151,里里在成长,,7万-10万,￥1000-5000
152,海淘卡券数码,,1000-3000,￥1000-5000
153,木木太阳岛,,1万-3万,￥1000-5000
154,小美爱美食,,1万-3万,￥1000-5000
155,团团一直吃,,7000-9000,￥1000-5000
156,语文小可可,,1万-3万,￥1000-5000
157,心理气象站,,10万以上,￥1000-5000
158,我爱我国,,1000-3000,￥1000-5000
159,苏舒苏舒,,1万-3万,￥1000-5000
160,吴阿姨萌宠之家,,1万-3万,￥1000-5000
161,栖西学术知识的店,,1万-3万,￥1000-5000
162,丁丁在努力,,1万-3万,￥1000-5000
163,美食劵不停,,9000-1万,￥1000-5000
164,序言在做PPT,,1万-3万,￥1000-5000
165,小咪老师要上岸,,3万-5万,￥1000-5000
166,小红薯天天有进步,,1万-3万,￥1000-5000
167,圆圆手抄报,,5万-7万,￥1000-5000
168,小艺老师,,1万-3万,￥1000-5000
169,Rework编辑部,,3000-5000,￥1000-5000
170,百年艺术阅览室,,7000-9000,￥1000-5000
171,Ariel英语超厉害,,1万-3万,￥1000-5000
172,为你而测,,10万以上,￥1000-5000
173,若若学姐知识库,,3万-5万,￥1000-5000
174,馋猫泡泡代充,,7000-9000,￥1000-5000
175,课件研究所,,1万-3万,￥1000-5000
176,aash,,3万-5万,￥1000-5000
177,旧漫画收藏馆,,3万-5万,￥1000-5000
178,上岸呀呀,,1万-3万,￥1000-5000
179,ADHD小美,,1万-3万,￥1000-5000
180,梗王游戏库,,3万-5万,￥1000-5000
181,甜心老师,,1万-3万,￥1000-5000
182,陪您上岸（考公知识库）,,1万-3万,￥1000-5000
183,进击的offer,,1万-3万,￥1000-5000
184,小芋圆Game,,3万-5万,￥1000-5000
185,多多美食分享,,7000-9000,￥1000-5000
186,胖胖教授ProfPangPang,,5000-7000,￥1000-5000
187,小雅老师.,,1万-3万,￥1000-5000
188,哈哈呼哈哈,,10万以上,￥1000-5000
189,🐟鱼你同行,,10万以上,￥1000-5000
190,TEco Lab 英语自习室,,9000-1万,￥1000-5000
191,招财喵百宝箱,,3万-5万,￥1000-5000
192,安安然76u,,3万-5万,￥1000-5000
193,绿竹知识铺,,7000-9000,￥1000-5000
194,满宝小说写作,,1万-3万,￥1000-5000
195,剑指天涯A,,3000-5000,￥1000-5000
196,熙熙学姐(上岸版),,3万-5万,￥1000-5000
197,月挽挽,,3万-5万,￥1000-5000
198,Once阅览室,,5000-7000,￥1000-5000
199,星诗,,1万-3万,￥1000-5000
200,栗子🌰日记,,3万-5万,￥1000-5000
