排名,店铺名,粉丝数,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）
50,美食券屯屯鼠,"1,485",3万-5万,5%-15%,0-5%,5000-1万
51,绵眠,19,3万-5万,5%-15%,5%-15%,5000-1万
52,寻物处first,751,1万-3万,5%-15%,5%-15%,5000-1万
53,九品小吏,"8,073",1万-3万,5%-15%,15%-25%,5000-1万
54,大猫素材基地,"1,079",5万-7万,15%-25%,15%-25%,5000-1万
55,券券小仓鼠,90,5000-7000,5%-15%,5%-15%,5000-1万
56,小康好卷,197,7000-9000,5%-15%,5%-15%,5000-1万
57,圆文山,3.64万,1万-3万,5%-15%,5%-15%,5000-1万
58,阳光泡芙,"1,037",3万-5万,5%-15%,15%-25%,5000-1万
59,水果软件素材,"1,101",5万-7万,5%-15%,5%-15%,5000-1万
60,AI有温度,1.92万,1万-3万,0-5%,5%-15%,5000-1万
61,超绝无敌打印机,"6,648",7万-10万,5%-15%,15%-25%,5000-1万
62,临安去哪玩,85,1万-3万,5%-15%,5%-15%,5000-1万
63,YY学姐资料库,399,10万以上,5%-15%,15%-25%,5000-1万
64,CC学姐的,"5,136",3万-5万,5%-15%,15%-25%,5000-1万
65,元宝家的,600,10万以上,0-5%,25%-50%,5000-1万
66,聪明狗蛋,"1,879",5万-7万,5%-15%,5%-15%,5000-1万
67,ALu🍎,152,1万-3万,5%-15%,15%-25%,5000-1万
68,软件百宝箱pro,"2,173",10万以上,5%-15%,5%-15%,5000-1万
69,梦恬恬吖,"1,969",7万-10万,5%-15%,5%-15%,5000-1万
70,大众美食券,391,9000-1万,5%-15%,0-5%,5000-1万
71,美美券妹儿,474,1万-3万,5%-15%,0-5%,5000-1万
72,Mila的外刊写作日记,"6,555",1万-3万,5%-15%,5%-15%,5000-1万
73,吃饱饱劵,180,1万-3万,5%-15%,0-5%,5000-1万
74,吃喝玩乐补给站,107,1万-3万,15%-25%,0-5%,5000-1万
75,木子李记录生活,52,7000-9000,15%-25%,0-5%,5000-1万
76,碎屏服务保障,"4,378",3000-5000,15%-25%,0-5%,5000-1万
77,阿东的工具库,"1,041",1万-3万,5%-15%,5%-15%,5000-1万
78,稿定设计ppt,445,5万-7万,15%-25%,15%-25%,5000-1万
79,小凤课件,4.01万,1万-3万,5%-15%,15%-25%,5000-1万
80,秦牛牛美食,528,1万-3万,5%-15%,0-5%,5000-1万
81,嘻爸嘻妈,"2,474",3万-5万,5%-15%,5%-15%,5000-1万
82,净植看短篇,1.60万,5万-7万,5%-15%,5%-15%,5000-1万
83,JACKAL,3.38万,1万-3万,5%-15%,5%-15%,5000-1万
84,小檬爱美食,62,1万-3万,5%-15%,0-5%,5000-1万
85,苏苏苏苏苏喂～,535,7万-10万,5%-15%,5%-15%,5000-1万
86,木木带你拿offer,730,1万-3万,5%-15%,15%-25%,5000-1万
87,公考新情报站,"1,163",5万-7万,5%-15%,5%-15%,5000-1万
88,岸口船夫,383,10万以上,5%-15%,5%-15%,5000-1万
89,思维氮泵 Brand,"7,143",9000-1万,0-5%,5%-15%,5000-1万
90,干饭小管家,83,1万-3万,5%-15%,0-5%,5000-1万
91,夏知（公考笔试）,"1,425",1万-3万,5%-15%,5%-15%,5000-1万
92,蓝色裤头猫的英语干货库（没回复就是在睡觉）,"6,073",1万-3万,5%-15%,5%-15%,5000-1万
93,塔塔自习室,"2,198",1万-3万,5%-15%,5%-15%,5000-1万
94,璞光少女,"6,634",1万-3万,5%-15%,5%-15%,5000-1万
95,好吃的饭饭,"1,678",10万以上,5%-15%,15%-25%,5000-1万
96,佳味美食小肆,88,1万-3万,5%-15%,0-5%,5000-1万
97,一二minioixi,"6,885",1万-3万,5%-15%,5%-15%,5000-1万
98,砚墨染云笺,776,5万-7万,5%-15%,5%-15%,5000-1万
99,心理交流站,805,10万以上,0-5%,25%-50%,5000-1万
100,阿拉阿湾小助理,"9,328",1万-3万,5%-15%,15%-25%,5000-1万
101,小可学姐,328,3万-5万,5%-15%,15%-25%,5000-1万
102,上岸原风,227,1万-3万,15%-25%,15%-25%,5000-1万
103,Fairy爱学习（找我到客服）,"5,352",1万-3万,5%-15%,5%-15%,5000-1万
104,素材菌｜简历｜PPT,"3,795",7万-10万,5%-15%,15%-25%,5000-1万
105,心理扫码站,"3,723",10万以上,0-5%,25%-50%,5000-1万
106,OC资料局,"8,050",10万以上,0-5%,15%-25%,5000-1万
107,第四曲线艺术阅览室,"1,284",5000-7000,5%-15%,5%-15%,5000-1万
108,彩云教务馆,196,3万-5万,5%-15%,15%-25%,5000-1万
109,小怡软件库,394,3万-5万,5%-15%,15%-25%,5000-1万
110,斐斐的省钱俱乐部,556,1万-3万,5%-15%,0-5%,5000-1万
111,资料一站式,907,10万以上,5%-15%,5%-15%,5000-1万
112,泓源数创学习阁,"1,664",3万-5万,5%-15%,5%-15%,5000-1万
113,悦纯学姐,460,1万-3万,15%-25%,5%-15%,5000-1万
114,双木林sml,"4,539",7000-9000,15%-25%,5%-15%,5000-1万
115,api key 官转api,"1,343",7万-10万,5%-15%,5%-15%,5000-1万
116,三天不语,107,1万-3万,5%-15%,0-5%,5000-1万
117,xiaoxiao6今天也不想上班,223,10万以上,5%-15%,25%-50%,5000-1万
118,大众美食券,45,5000-7000,5%-15%,0-5%,5000-1万
119,怪好吃,219,1万-3万,5%-15%,0-5%,5000-1万
120,小月爱美食,65,1万-3万,5%-15%,0-5%,5000-1万
121,vivo保障服务办理,"2,784",7000-9000,25%-50%,0-5%,5000-1万
122,伊伊宝贝学英语,"3,026",1万-3万,5%-15%,5%-15%,5000-1万
123,吃喝玩乐超级补给,24,5000-7000,15%-25%,0-5%,5000-1万
124,美食趣玩俱乐部,69,1万-3万,25%-50%,0-5%,5000-1万
125,十年程序猿,169,3万-5万,5%-15%,5%-15%,5000-1万
126,我们教书匠,1.36万,1万-3万,5%-15%,15%-25%,5000-1万
127,派大星软件百宝箱,401,3万-5万,15%-25%,5%-15%,5000-1万
128,Wendy,733,3万-5万,5%-15%,5%-15%,5000-1万
129,何一诺,483,5万-7万,5%-15%,5%-15%,5000-1万
130,牛牛在学（考研英语版）,468,1万-3万,5%-15%,15%-25%,5000-1万
131,团GO美食家,668,1万-3万,5%-15%,0-5%,5000-1万
132,鲨鲨不想上班,1.09万,5万-7万,0-5%,15%-25%,5000-1万
133,成长论NuYoah.,"1,738",7万-10万,0-5%,5%-15%,5000-1万
134,胖虎软件百宝箱,423,3万-5万,15%-25%,5%-15%,5000-1万
135,Andyx,"4,339",3万-5万,5%-15%,5%-15%,5000-1万
136,游玩美食gogogo,"1,958",5000-7000,25%-50%,0-5%,5000-1万
137,壮壮妈卡券权益,70,3000-5000,15%-25%,0-5%,5000-1万
138,彤彤美食特惠,39,7000-9000,5%-15%,0-5%,5000-1万
139,彤彤美食雅,30,7000-9000,5%-15%,0-5%,5000-1万
140,干饭快乐卷,170,1万-3万,5%-15%,0-5%,5000-1万
141,拍照的小🐑,"1,286",5万-7万,5%-15%,15%-25%,5000-1万
142,琪琪学姐教育培训,"1,537",1万-3万,5%-15%,5%-15%,5000-1万
143,小巧匠儿教语文,"3,864",5000-7000,15%-25%,15%-25%,￥1000-5000
144,笔试题库,283,3万-5万,5%-15%,15%-25%,￥1000-5000
145,安柒wallpaper,4.21万,7万-10万,5%-15%,5%-15%,￥1000-5000
146,联考上岸榜,3.15万,1万-3万,5%-15%,5%-15%,￥1000-5000
147,助你上岸研究所,807,3万-5万,5%-15%,25%-50%,￥1000-5000
148,BBG Talents,"2,618",3000-5000,5%-15%,0-5%,￥1000-5000
149,身心疗愈心理研究院,1.32万,10万以上,0-5%,25%-50%,￥1000-5000
150,阿啾爱学习,2.03万,5万-7万,5%-15%,15%-25%,￥1000-5000
151,里里在成长,"1,260",7万-10万,0-5%,5%-15%,￥1000-5000
152,海淘卡券数码,306,1000-3000,15%-25%,15%-25%,￥1000-5000
153,木木太阳岛,402,1万-3万,5%-15%,15%-25%,￥1000-5000
154,小美爱美食,43,1万-3万,5%-15%,0-5%,￥1000-5000
155,团团一直吃,82,7000-9000,5%-15%,0-5%,￥1000-5000
156,语文小可可,238,1万-3万,15%-25%,5%-15%,￥1000-5000
157,心理气象站,"1,128",10万以上,0-5%,25%-50%,￥1000-5000
158,我爱我国,74,1000-3000,5%-15%,5%-15%,￥1000-5000
159,苏舒苏舒,"2,493",1万-3万,5%-15%,5%-15%,￥1000-5000
160,吴阿姨萌宠之家,"6,146",1万-3万,0-5%,15%-25%,￥1000-5000
161,栖西学术知识的店,35,1万-3万,5%-15%,15%-25%,￥1000-5000
162,丁丁在努力,36,1万-3万,5%-15%,5%-15%,￥1000-5000
163,美食劵不停,"1,580",9000-1万,5%-15%,0-5%,￥1000-5000
164,序言在做PPT,1.34万,1万-3万,5%-15%,15%-25%,￥1000-5000
165,小咪老师要上岸,"1,281",3万-5万,5%-15%,5%-15%,￥1000-5000
166,小红薯天天有进步,651,1万-3万,15%-25%,15%-25%,￥1000-5000
167,圆圆手抄报,3.97万,5万-7万,5%-15%,5%-15%,￥1000-5000
168,小艺老师,505,1万-3万,15%-25%,5%-15%,￥1000-5000
169,Rework编辑部,"2,182",3000-5000,5%-15%,5%-15%,￥1000-5000
170,百年艺术阅览室,536,7000-9000,5%-15%,0-5%,￥1000-5000
171,Ariel英语超厉害,"1,730",1万-3万,5%-15%,5%-15%,￥1000-5000
172,为你而测,390,10万以上,0-5%,25%-50%,￥1000-5000
173,若若学姐知识库,"1,487",3万-5万,15%-25%,15%-25%,￥1000-5000
174,馋猫泡泡代充,"4,382",7000-9000,5%-15%,5%-15%,￥1000-5000
175,课件研究所,3.35万,1万-3万,5%-15%,0-5%,￥1000-5000
176,aash,"8,571",3万-5万,5%-15%,15%-25%,￥1000-5000
177,旧漫画收藏馆,603,3万-5万,5%-15%,5%-15%,￥1000-5000
178,上岸呀呀,250,1万-3万,5%-15%,5%-15%,￥1000-5000
179,ADHD小美,250,1万-3万,5%-15%,5%-15%,￥1000-5000
180,梗王游戏库,"1,256",3万-5万,5%-15%,25%-50%,￥1000-5000
181,甜心老师,487,1万-3万,15%-25%,5%-15%,￥1000-5000
182,陪您上岸（考公知识库）,"1,215",1万-3万,5%-15%,5%-15%,￥1000-5000
183,进击的offer,663,1万-3万,5%-15%,5%-15%,￥1000-5000
184,小芋圆Game,"2,360",3万-5万,5%-15%,5%-15%,￥1000-5000
185,多多美食分享,28,7000-9000,5%-15%,0-5%,￥1000-5000
186,胖胖教授ProfPangPang,829,5000-7000,5%-15%,5%-15%,￥1000-5000
187,小雅老师.,4.83万,1万-3万,5%-15%,15%-25%,￥1000-5000
188,哈哈呼哈哈,560,10万以上,5%-15%,25%-50%,￥1000-5000
189,🐟鱼你同行,426,10万以上,5%-15%,15%-25%,￥1000-5000
190,TEco Lab 英语自习室,1.16万,9000-1万,5%-15%,5%-15%,￥1000-5000
191,招财喵百宝箱,147,3万-5万,15%-25%,5%-15%,￥1000-5000
192,安安然76u,152,3万-5万,15%-25%,5%-15%,￥1000-5000
193,绿竹知识铺,477,7000-9000,5%-15%,15%-25%,￥1000-5000
194,满宝小说写作,"4,817",1万-3万,5%-15%,5%-15%,￥1000-5000
195,剑指天涯A,"4,121",3000-5000,5%-15%,0-5%,￥1000-5000
196,熙熙学姐(上岸版),869,3万-5万,5%-15%,5%-15%,￥1000-5000
197,月挽挽,"2,036",3万-5万,5%-15%,5%-15%,￥1000-5000
198,Once阅览室,"4,980",5000-7000,5%-15%,5%-15%,￥1000-5000
199,星诗,237,1万-3万,5%-15%,5%-15%,￥1000-5000
200,栗子🌰日记,225,3万-5万,5%-15%,15%-25%,￥1000-5000
