排名,店铺名,粉丝数,笔记阅读数,笔记商品点击率,笔记支付转化率,笔记成交金额（元）,获取时间
54,吃饱饱劵,185,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
55,水果软件素材,"1,117",5万-7万,5%-15%,5%-15%,5000-1万,2025-11-18
56,阳光泡芙,"1,080",3万-5万,5%-15%,15%-25%,5000-1万,2025-11-18
57,小可学姐,409,3万-5万,5%-15%,15%-25%,5000-1万,2025-11-18
58,思维氮泵 Brand,"7,314",1万-3万,0-5%,5%-15%,5000-1万,2025-11-18
59,临安去哪玩,90,1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
60,净植看短篇,1.60万,5万-7万,5%-15%,5%-15%,5000-1万,2025-11-18
61,寻物处first,767,1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
62,软件百宝箱pro,"2,224",10万以上,5%-15%,5%-15%,5000-1万,2025-11-18
63,圆文山,3.67万,1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
64,Pitch.拓点学习室,7.11万,1万-3万,0-5%,5%-15%,5000-1万,2025-11-18
65,彩云教务馆,221,3万-5万,5%-15%,15%-25%,5000-1万,2025-11-18
66,九品小吏,"8,084",1万-3万,5%-15%,15%-25%,5000-1万,2025-11-18
67,依欣官官,"3,005",10万以上,0-5%,5%-15%,5000-1万,2025-11-18
68,夏知（公考笔试）,"1,449",1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
69,超绝无敌打印机,"6,665",7万-10万,5%-15%,15%-25%,5000-1万,2025-11-18
70,上岸原风,244,1万-3万,15%-25%,15%-25%,5000-1万,2025-11-18
71,佳味美食小肆,96,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
72,阿东的工具库,"1,057",1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
73,三天不语,137,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
74,秦牛牛美食,549,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
75,Mila的外刊写作日记,"6,616",1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
76,ALu🍎,159,1万-3万,5%-15%,15%-25%,5000-1万,2025-11-18
77,蓝色裤头猫的英语干货库（没回复就是在睡觉）,"6,108",1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
78,砚墨染云笺,785,5万-7万,5%-15%,5%-15%,5000-1万,2025-11-18
79,璞光少女,"6,684",1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
80,api key 官转api,"1,391",7万-10万,5%-15%,5%-15%,5000-1万,2025-11-18
81,碎屏服务保障,"4,381",3000-5000,15%-25%,0-5%,5000-1万,2025-11-18
82,聪明狗蛋,"1,905",5万-7万,5%-15%,5%-15%,5000-1万,2025-11-18
83,稿定设计ppt,493,5万-7万,15%-25%,15%-25%,5000-1万,2025-11-18
84,塔塔自习室,"2,227",1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
85,好吃的饭饭,"1,789",10万以上,5%-15%,15%-25%,5000-1万,2025-11-18
86,AI有温度,1.93万,1万-3万,0-5%,5%-15%,5000-1万,2025-11-18
87,大猫素材基地,"1,105",3万-5万,5%-15%,15%-25%,5000-1万,2025-11-18
88,Andyx,"4,350",5万-7万,5%-15%,5%-15%,5000-1万,2025-11-18
89,双木林sml,"4,555",5000-7000,15%-25%,5%-15%,5000-1万,2025-11-18
90,vivo保障服务办理,"2,795",7000-9000,15%-25%,0-5%,5000-1万,2025-11-18
91,阿拉阿湾小助理,"9,388",1万-3万,5%-15%,15%-25%,5000-1万,2025-11-18
92,团GO美食家,680,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
93,派大星软件百宝箱,425,5万-7万,15%-25%,5%-15%,5000-1万,2025-11-18
94,CC学姐的,"5,147",1万-3万,5%-15%,15%-25%,5000-1万,2025-11-18
95,资料一站式,987,10万以上,5%-15%,5%-15%,5000-1万,2025-11-18
96,JACKAL,3.38万,1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
97,干饭小管家,84,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
98,素材菌｜简历｜PPT,"4,130",7万-10万,5%-15%,15%-25%,5000-1万,2025-11-18
99,小檬爱美食,65,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
100,第四曲线艺术阅览室,"1,355",5000-7000,5%-15%,5%-15%,5000-1万,2025-11-18
101,小怡软件库,393,3万-5万,5%-15%,15%-25%,5000-1万,2025-11-18
102,OC资料局,"8,164",10万以上,0-5%,25%-50%,5000-1万,2025-11-18
103,元宝家的,704,10万以上,0-5%,25%-50%,5000-1万,2025-11-18
104,食分美好,482,1万-3万,15%-25%,0-5%,5000-1万,2025-11-18
105,心理扫码站,"3,748",10万以上,0-5%,25%-50%,5000-1万,2025-11-18
106,成长论NuYoah.,"1,786",7万-10万,5%-15%,5%-15%,5000-1万,2025-11-18
107,小暖心灵疗愈室,247,10万以上,0-5%,25%-50%,5000-1万,2025-11-18
108,Wendy,749,5万-7万,5%-15%,5%-15%,5000-1万,2025-11-18
109,公考新情报站,"1,201",5万-7万,5%-15%,5%-15%,5000-1万,2025-11-18
110,美食趣玩俱乐部,73,1万-3万,25%-50%,0-5%,5000-1万,2025-11-18
111,小月爱美食,66,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
112,小巧匠儿教语文,"3,912",7000-9000,15%-25%,15%-25%,5000-1万,2025-11-18
113,拍照的小🐑,"1,325",7万-10万,5%-15%,15%-25%,5000-1万,2025-11-18
114,法医书籍,"1,464",7万-10万,5%-15%,5%-15%,5000-1万,2025-11-18
115,彤彤美食雅,31,9000-1万,5%-15%,0-5%,5000-1万,2025-11-18
116,泓源数创学习阁,"1,680",5万-7万,5%-15%,5%-15%,5000-1万,2025-11-18
117,xiaoxiao6今天也不想上班,265,10万以上,5%-15%,25%-50%,5000-1万,2025-11-18
118,阿啾爱学习,2.06万,5万-7万,5%-15%,15%-25%,5000-1万,2025-11-18
119,梦恬恬吖,"1,987",7万-10万,5%-15%,5%-15%,5000-1万,2025-11-18
120,一二minioixi,"6,910",1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
121,岸口船夫,405,10万以上,5%-15%,5%-15%,5000-1万,2025-11-18
122,伊伊宝贝学英语,"3,034",1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
123,Fairy爱学习（找我到客服）,"5,376",9000-1万,5%-15%,15%-25%,5000-1万,2025-11-18
124,大众美食券,46,7000-9000,5%-15%,0-5%,5000-1万,2025-11-18
125,嘻爸嘻妈,"2,475",3万-5万,5%-15%,5%-15%,5000-1万,2025-11-18
126,笔试题库,293,3万-5万,5%-15%,15%-25%,5000-1万,2025-11-18
127,美食劵不停,"1,589",1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
128,多多美食分享,30,9000-1万,5%-15%,0-5%,5000-1万,2025-11-18
129,苏舒苏舒,"2,556",1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
130,我们教书匠,1.36万,1万-3万,5%-15%,15%-25%,5000-1万,2025-11-18
131,彤彤美食特惠,39,7000-9000,5%-15%,5%-15%,5000-1万,2025-11-18
132,木木太阳岛,429,1万-3万,5%-15%,15%-25%,5000-1万,2025-11-18
133,心理交流站,838,10万以上,0-5%,25%-50%,5000-1万,2025-11-18
134,旧漫画收藏馆,685,3万-5万,5%-15%,5%-15%,5000-1万,2025-11-18
135,馋猫泡泡代充,"4,397",7000-9000,15%-25%,5%-15%,5000-1万,2025-11-18
136,怪好吃,220,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
137,牛牛在学（考研英语版）,475,1万-3万,5%-15%,15%-25%,5000-1万,2025-11-18
138,序言在做PPT,1.34万,1万-3万,5%-15%,15%-25%,5000-1万,2025-11-18
139,联考上岸榜,3.15万,1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
140,游玩美食gogogo,"1,961",5000-7000,25%-50%,0-5%,5000-1万,2025-11-18
141,里里在成长,"1,313",10万以上,0-5%,5%-15%,5000-1万,2025-11-18
142,小美爱美食,44,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
143,星诗,260,1万-3万,5%-15%,5%-15%,5000-1万,2025-11-18
144,干饭快乐卷,175,1万-3万,5%-15%,0-5%,5000-1万,2025-11-18
145,小凤课件,4.01万,1万-3万,5%-15%,15%-25%,￥1000-5000,2025-11-18
146,伊琳吖🍊,111,1万-3万,15%-25%,15%-25%,￥1000-5000,2025-11-18
147,胖虎软件百宝箱,434,3万-5万,15%-25%,5%-15%,￥1000-5000,2025-11-18
148,琪琪学姐教育培训,"1,576",1万-3万,5%-15%,5%-15%,￥1000-5000,2025-11-18
149,Ruby,808,10万以上,0-5%,25%-50%,￥1000-5000,2025-11-18
150,团团一直吃,83,7000-9000,5%-15%,0-5%,￥1000-5000,2025-11-18
151,咩咩要吃荔枝,70,1万-3万,5%-15%,0-5%,￥1000-5000,2025-11-18
152,鲨鲨不想上班,1.09万,5万-7万,0-5%,15%-25%,￥1000-5000,2025-11-18
153,AiVIP,3,1000-3000,15%-25%,0-5%,￥1000-5000,2025-11-18
154,BBG Talents,"2,632",3000-5000,5%-15%,0-5%,￥1000-5000,2025-11-18
155,美食好吃卷,26,5000-7000,5%-15%,5%-15%,￥1000-5000,2025-11-18
156,斐斐的省钱俱乐部,569,1万-3万,5%-15%,0-5%,￥1000-5000,2025-11-18
157,丁丁在努力,39,1万-3万,5%-15%,15%-25%,￥1000-5000,2025-11-18
158,百年艺术阅览室,575,5000-7000,5%-15%,0-5%,￥1000-5000,2025-11-18
159,愿喵成真,6.84万,7万-10万,5%-15%,5%-15%,￥1000-5000,2025-11-18
160,安琪老师在努力鸭,132,1万-3万,15%-25%,15%-25%,￥1000-5000,2025-11-18
161,安安然76u,159,5万-7万,15%-25%,5%-15%,￥1000-5000,2025-11-18
162,木子李记录生活,55,5000-7000,15%-25%,0-5%,￥1000-5000,2025-11-18
163,身心疗愈心理研究院,1.32万,10万以上,0-5%,25%-50%,￥1000-5000,2025-11-18
164,小邓的教学日记,"1,863",9000-1万,15%-25%,5%-15%,￥1000-5000,2025-11-18
165,而研测试,788,10万以上,0-5%,25%-50%,￥1000-5000,2025-11-18
166,Once阅览室,"4,994",5000-7000,5%-15%,5%-15%,￥1000-5000,2025-11-18
167,悦纯学姐,464,1万-3万,15%-25%,5%-15%,￥1000-5000,2025-11-18
168,栖西学术知识的店,43,1万-3万,5%-15%,15%-25%,￥1000-5000,2025-11-18
169,小咪老师要上岸,"1,285",3万-5万,5%-15%,5%-15%,￥1000-5000,2025-11-18
170,小芋圆Game,"2,365",5万-7万,5%-15%,5%-15%,￥1000-5000,2025-11-18
171,小米上岸,942,1万-3万,5%-15%,15%-25%,￥1000-5000,2025-11-18
172,林礼均,"1,562",1万-3万,5%-15%,25%-50%,￥1000-5000,2025-11-18
173,何一诺,492,3万-5万,5%-15%,5%-15%,￥1000-5000,2025-11-18
174,圆圆手抄报,3.98万,5万-7万,5%-15%,5%-15%,￥1000-5000,2025-11-18
175,招财喵百宝箱,155,3万-5万,15%-25%,15%-25%,￥1000-5000,2025-11-18
176,学姐备考资料库,241,1万-3万,5%-15%,15%-25%,￥1000-5000,2025-11-18
177,助你上岸研究所,825,3万-5万,5%-15%,25%-50%,￥1000-5000,2025-11-18
178,心理气象站,"1,164",10万以上,0-5%,25%-50%,￥1000-5000,2025-11-18
179,TEco Lab 英语自习室,1.17万,9000-1万,5%-15%,5%-15%,￥1000-5000,2025-11-18
180,aash,"8,580",3万-5万,5%-15%,15%-25%,￥1000-5000,2025-11-18
181,ADHD小美,253,1万-3万,5%-15%,5%-15%,￥1000-5000,2025-11-18
182,梗王游戏库,"1,297",3万-5万,5%-15%,25%-50%,￥1000-5000,2025-11-18
183,海淘卡券数码,306,1000-3000,15%-25%,5%-15%,￥1000-5000,2025-11-18
184,kxxg,177,3000-5000,25%-50%,5%-15%,￥1000-5000,2025-11-18
185,Lily（接offer）,132,3万-5万,5%-15%,15%-25%,￥1000-5000,2025-11-18
186,心安小栈,214,10万以上,0-5%,25%-50%,￥1000-5000,2025-11-18
187,Chris无痛学语言,"3,354",7000-9000,5%-15%,0-5%,￥1000-5000,2025-11-18
188,未来生产力工具箱,94,7000-9000,5%-15%,0-5%,￥1000-5000,2025-11-18
189,我爱我国,75,1000-3000,5%-15%,0-5%,￥1000-5000,2025-11-18
190,冈易小蛋糕,"1,734",7万-10万,5%-15%,0-5%,￥1000-5000,2025-11-18
191,开学就想放暑假,3.63万,1万-3万,5%-15%,15%-25%,￥1000-5000,2025-11-18
192,课代表PPT,413,3万-5万,15%-25%,25%-50%,￥1000-5000,2025-11-18
193,Rework编辑部,"2,192",3000-5000,5%-15%,5%-15%,￥1000-5000,2025-11-18
194,剑指天涯A,"4,125",5000-7000,5%-15%,0-5%,￥1000-5000,2025-11-18
195,进击的offer,668,1万-3万,5%-15%,5%-15%,￥1000-5000,2025-11-18
196,小曼的俄语笔记,271,3万-5万,0-5%,5%-15%,￥1000-5000,2025-11-18
197,七步小事上岸资料,"3,524",1万-3万,5%-15%,25%-50%,￥1000-5000,2025-11-18
198,外语影子跟读助手,"9,355",3000-5000,5%-15%,5%-15%,￥1000-5000,2025-11-18
199,西西胶片Life,"5,181",1万-3万,5%-15%,25%-50%,￥1000-5000,2025-11-18
200,旺旺小福,35,1万-3万,5%-15%,15%-25%,￥1000-5000,2025-11-18
